paper,author,affiliations
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Eric Girardin,"Grand Pra Observatory, 1984 Les Hauderes, Switzerland"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Guillaume H\'ebrard,"Institut d'astrophysique de Paris, UMR7095 CNRS, Universit\'e Pierre \& Marie Curie, 98bis boulevard Arago, 75014 Paris, France; Observatoire de Haute-Provence, CNRS, Universit\'e d'Aix-Marseille, 04870 Saint-Michel-l'Observatoire, France"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Elisabeth Heldridge,"The Thacher School, 5025 Thacher Rd., Ojai, CA 93023, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Marziye Jafariyazani,"SETI Institute, Mountain View, CA 94043 USA/NASA Ames Research Center, Moffett Field, CA 94035 USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Brooke Kotten,"Department of Astronomy, University of Michigan, Ann Arbor, MI 48109, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Luigi Mancini,"Department of Physics, University of Rome ``Tor Vergata'', Via della Ricerca Scientifica 1, I-00133, Rome, Italy; Max Planck Institute for Astronomy, K\"{o}nigstuhl 17, D-69117, Heidelberg, Germany; INAF -- Osservatorio Astrofisico di Torino, via Osservatorio 20, I-10025, Pino Torinese, Italy"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Felipe Murgas,"Instituto de Astrof\'isica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain; Departamento de Astrof\'isica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Norio Narita,"Komaba Institute for Science, The University of Tokyo, 3-8-1 Komaba, Meguro, Tokyo 153-8902, Japan; Astrobiology Center, 2-21-1 Osawa, Mitaka, Tokyo 181 8588, Japan; Instituto de Astrof\'isica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain"

Chasing the Light: Shadowing, Collimation, and the Super-Eddington Growth of Infant Black Holes in JWST-Discovered AGNs,Piero Madau,"Department of Astronomy \& Astrophysics, University of California, 1156 High Street, Santa Cruz, CA 95064, USA; Dipartimento di Fisica ``G. Occhialini," Università degli Studi di Milano-Bicocca, Piazza della Scienza 3, I-20126 Milano, Italy"

On the seismic modelling of subgiant stars: testing different grid interpolation methods,M. Clara,"Instituto de Astrofísica e Ciências do Espaço, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal; Departamento de Física e Astronomia, Faculdade de Ciências da Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal"
On the seismic modelling of subgiant stars: testing different grid interpolation methods,M. S. Cunha,"Instituto de Astrofísica e Ciências do Espaço, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal; Université Côte d’Azur, Observatoire de la Côte d’Azur, CNRS, Laboratoire Lagrange, France"
On the seismic modelling of subgiant stars: testing different grid interpolation methods,P. P. Avelino,"Instituto de Astrofísica e Ciências do Espaço, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal; Departamento de Física e Astronomia, Faculdade de Ciências da Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal; Université Côte d’Azur, Observatoire de la Côte d’Azur, CNRS, Laboratoire Lagrange, France"
On the seismic modelling of subgiant stars: testing different grid interpolation methods,T. L. Campante,"Instituto de Astrofísica e Ciências do Espaço, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal; Departamento de Física e Astronomia, Faculdade de Ciências da Universidade do Porto, Rua do Campo Alegre, s/n, 4169-007 Porto, Portugal"
On the seismic modelling of subgiant stars: testing different grid interpolation methods,S. Deheuvels,"IRAP, Université de Toulouse, CNRS, CNES, UPS, 14 avenue Edouard Belin, 31400 Toulouse, France"
On the seismic modelling of subgiant stars: testing different grid interpolation methods,D. R. Reese,"LIRA, Observatoire de Paris, Université PSL, Sorbonne Université, Université Paris Cité, CY Cergy Paris Université, CNRS, 92190 Meudon, France"

GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Qiu-Li Wang,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Hao Zhou,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Yun Wang,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Jia Ren,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Samaporn Tinyanont,"National Astronomical Research Institute of Thailand, 260 Moo 4, Donkaew, Maerim, Chiang Mai 50180, Thailand"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Dong Xu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Ning-Chen Sun,"School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, China; National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China; Institute for Frontiers in Astronomy and Astrophysics, Beijing Normal University, Beijing 102206, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Johan P.U. Fynbo,"Cosmic Dawn Center (DAWN), Copenhagen 2200, Denmark.; Niels Bohr Institute, Copenhagen University, Jagtvej 155, DK-2200, Copenhagen N, Denmark"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Daniele B. Malesani,"Cosmic Dawn Center (DAWN), Copenhagen 2200, Denmark.; Niels Bohr Institute, Copenhagen University, Jagtvej 155, DK-2200, Copenhagen N, Denmark"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Jie An,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Rungrit Anutarawiramkul,"National Astronomical Research Institute of Thailand, 260 Moo 4, Donkaew, Maerim, Chiang Mai 50180, Thailand"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Pathompong Butpa,"National Astronomical Research Institute of Thailand, 260 Moo 4, Donkaew, Maerim, Chiang Mai 50180, Thailand"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Shao-Yu Fu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Shuai-Qing Jiang,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, China"
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Xing Liu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China"

Cepheids in spectroscopic binary systems - current status and recent discoveries,B. Pilecki,"Centrum Astronomiczne im. M. Kopernika PAN, Warsaw, Poland"

Structures of various types of symmetry in the solar activity cycle,V.N. Obridko,"IZMIRAN, 4, Kaluzhskoe Shosse, Troitsk, Moscow, 108840, Russia"
Structures of various types of symmetry in the solar activity cycle,A.S. Shibalova,"IZMIRAN, 4, Kaluzhskoe Shosse, Troitsk, Moscow, 108840, Russia"
Structures of various types of symmetry in the solar activity cycle,D.D. Sokoloff,"IZMIRAN, 4, Kaluzhskoe Shosse, Troitsk, Moscow, 108840, Russia; Department of Physics, Lomonosov Moscow State University, Moscow, 119991, Russia and Moscow Center for Fundamental and Applied Mathematics, Moscow, 119991, Russia"

MUSE observations of V1425 Aql reveal an arc-shaped nova shell.,Lientur Celed\'on,"Instituto de F\'isica y Astronom\'ia, Universidad de Valpara\'iso, Valpara\'iso, Chile"
MUSE observations of V1425 Aql reveal an arc-shaped nova shell.,Claus Tappert,"Instituto de F\'isica y Astronom\'ia, Universidad de Valpara\'iso, Valpara\'iso, Chile"
MUSE observations of V1425 Aql reveal an arc-shaped nova shell.,Linda Schmidtobreick,"European Southern Observatory, Casilla 19001, Santiago 19, Chile"
MUSE observations of V1425 Aql reveal an arc-shaped nova shell.,Fernando J. Selman,"European Southern Observatory, Casilla 19001, Santiago 19, Chile"

Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology,Tobias Röspel,"Zentrum für Astronomie der Universität Heidelberg, Astronomisches Rechen-Institut, Philosophenweg 12, 69120 Heidelberg, Germany"
Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology,Adrian Schlosser,"Zentrum für Astronomie der Universität Heidelberg, Astronomisches Rechen-Institut, Philosophenweg 12, 69120 Heidelberg, Germany"
Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology,Björn Malte Schäfer,"Zentrum für Astronomie der Universität Heidelberg, Astronomisches Rechen-Institut, Philosophenweg 12, 69120 Heidelberg, Germany; Interdisziplinäres Zentrum für wissenschaftliches Rechnen der Universität Heidelberg, Im Neuenheimer Feld 205, 69120 Heidelberg, Germany"

Nonlinear analysis of gravitational instability in a 3D gaseous disc,JOSHUA J. BROWN,"Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Centre for Mathematical Sciences, Wilberforce Road, Cambridge CB3 0WA, UK"
Nonlinear analysis of gravitational instability in a 3D gaseous disc,GORDON I. OGILVIE,"Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Centre for Mathematical Sciences, Wilberforce Road, Cambridge CB3 0WA, UK"

Spectral Study of Aql~X-1 during \textit{Pulse-on} and \textit{Pulse-off} Stages,Tu\u{g}\c{c}e Kocab{\i}y{\i}k,"\.{I}stanbul University, Graduate School of Sciences, Department of Astronomy and Space Sciences, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey"
Spectral Study of Aql~X-1 during \textit{Pulse-on} and \textit{Pulse-off} Stages,Can Güngör,"\.{I}stanbul University, Science Faculty, Department of Astronomy and Space Sciences, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey; \.{I}stanbul University Observatory Research and Application Center, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey"
Spectral Study of Aql~X-1 during \textit{Pulse-on} and \textit{Pulse-off} Stages,M. Turan Sa\u{g}lam,"\.{I}stanbul University, Graduate School of Sciences, Department of Astronomy and Space Sciences, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey"
Spectral Study of Aql~X-1 during \textit{Pulse-on} and \textit{Pulse-off} Stages,Tolga Güver,"\.{I}stanbul University, Science Faculty, Department of Astronomy and Space Sciences, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey; \.{I}stanbul University Observatory Research and Application Center, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey"
Spectral Study of Aql~X-1 during \textit{Pulse-on} and \textit{Pulse-off} Stages,Z. Funda Bostanc{\i},"\.{I}stanbul University, Science Faculty, Department of Astronomy and Space Sciences, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey; \.{I}stanbul University Observatory Research and Application Center, Beyaz{\i}t, 34119, \.{I}stanbul, Turkey"

Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Joseph R. Farah,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA; Department of Physics, University of California, Santa Barbara, CA 93106-9530, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,D. Andrew Howell,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA; Department of Physics, University of California, Santa Barbara, CA 93106-9530, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Giacomo Terreran,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Ido Irani,"Department of Particle Physics and Astrophysics, Weizmann Institute of Science, 234 Herzl St, 7610001 Rehovot, Israel"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Jonathan Morag,"Department of Particle Physics and Astrophysics, Weizmann Institute of Science, 234 Herzl St, 7610001 Rehovot, Israel"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Craig Pellegrino,"Department of Astronomy, University of Virginia, Charlottesville, VA 22904, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Curtis McCully,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Megan Newsome,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA; Department of Physics, University of California, Santa Barbara, CA 93106-9530, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Estefania Padilla Gonzalez,"Las Cumbres Observatory, 6740 Cortona Drive, Suite 102, Goleta, CA 93117-5575, USA; Department of Physics, University of California, Santa Barbara, CA 93106-9530, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Azalee Bostroem,"Steward Observatory, University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721-0065, USA"
Shock-cooling Constraints via Early-time Observations of the Type IIb SN 2022hnt,Griffin Hosseinzadeh,"Steward Observatory, University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721-0065, USA; Department of Astronomy \& Astrophysics, University of California, San Diego, 9500 Gilman Drive, MC 0424, La Jolla, CA 92093-0424, USA"
